timestamp,ecg_measurement,qrs_detected
6548708,2.2776148319,0
6552588,2.2629520893,0
6556460,2.2531769275,0
6560348,2.2482893466,0
6564228,2.2922775745,0
6568108,2.3264906406,0
6571972,2.3216030597,0
6575844,2.3020527362,0
6579716,2.3167154788,0
6583596,2.3607037067,0
6587460,2.3998045921,0
6591332,2.4095797538,0
6595212,2.3900294303,0
6599084,2.3998045921,0
6602956,2.4437928199,0
6606836,2.4926686286,0
6610708,2.5024437904,0
6614572,2.4828934669,0
6618452,2.4780058860,0
6622308,2.5122189521,0
6626188,2.5562071800,0
6630060,2.5659823417,0
6633948,2.5415444374,0
6637836,2.5073313713,0
6641712,2.5171065330,0
6645572,2.5366568565,0
6649460,2.5317692756,0
6653348,2.4828934669,0
6657228,2.4340176582,0
6661100,2.4193549156,0
6664988,2.4291300773,0
6668860,2.4046921730,0
6672724,2.3411533832,0
6676604,2.2776148319,0
6680484,2.2140762805,0
6684356,2.1896383762,0
6688236,2.1603128910,0
6692108,2.0967741012,0
6695984,2.0234603881,0
6699856,1.9843597412,0
6703732,2.0039100646,0
6707592,1.9892473220,0
6711472,1.9648094177,0
6715344,1.9208210945,0
6719224,1.9012707710,0
6723096,1.9208210945,0
6726968,1.9452590942,0
6730840,1.9452590942,0
6734704,1.9208210945,0
6738564,1.9110459327,0
6742448,1.9501466751,0
6746328,1.9892473220,0
6750196,2.0039100646,0
6754064,1.9843597412,0
6757952,1.9696969985,0
6761828,2.0136852264,0
6765700,2.0527858734,0
6769564,2.0772237777,0
6773444,2.0576734542,0
6777324,2.0478982925,0
6781204,2.0674486160,0
6785072,2.1114368438,0
6788948,2.1407625675,0
6792828,2.1309874057,0
6796692,2.1016616821,0
6800564,2.1163244247,0
6804444,2.1554253101,0
6808332,2.1847507953,0
6812212,2.1798632144,0
6816100,2.1407625675,0
6819972,2.1456501483,0
6823844,2.1798632144,0
6827716,2.2091886997,0
6831580,2.1945259571,0
6835468,2.1554253101,0
6839348,2.1505377292,0
6843220,2.1896383762,0
6847100,2.2238514423,0
6850988,2.2140762805,0
6854860,2.1798632144,0
6858732,2.1603128910,0
6862604,2.1847507953,0
6866484,2.2189638614,0
6870364,2.2189638614,0
6874252,2.1896383762,0
6878132,2.1700880527,0
6881996,2.1847507953,0
6885876,2.2140762805,0
6889748,2.2189638614,0
6893616,2.1847507953,0
6897484,2.1603128910,0
6901356,2.1749756336,0
6905244,2.2140762805,0
6909124,2.2238514423,0
6913004,2.1896383762,0
6916884,2.1603128910,0
6920756,2.1652004718,0
6924636,2.2043011188,0
6928508,2.2385141849,0
6932380,2.2091886997,0
6936252,2.1749756336,0
6940140,2.1700880527,0
6944012,2.2091886997,0
6947884,2.2336266040,0
6951740,2.2238514423,0
6955628,2.1945259571,0
6959508,2.1798632144,0
6963396,2.2091886997,0
6967260,2.2434017658,0
6971140,2.2385141849,0
6975020,2.2043011188,0
6978892,2.1994135379,0
6982764,2.2238514423,0
6986644,2.2531769275,0
6990516,2.2482893466,0
6994396,2.2140762805,0
6998276,2.1994135379,0
7002160,2.2140762805,0
7006028,2.2482893466,0
7009908,2.2531769275,0
7013788,2.2189638614,0
7017668,2.1945259571,0
7021540,2.2140762805,0
7025420,2.2531769275,0
7029300,2.2678396701,0
7033180,2.2385141849,0
7037068,2.2091886997,0
7040940,2.2336266040,0
7044820,2.2531769275,0
7048692,2.2727272510,0
7052564,2.2531769275,0
7056444,2.2189638614,0
7060316,2.2238514423,0
7064204,2.2678396701,0
7068084,2.2825024127,0
7071964,2.2629520893,0
7075836,2.2287390232,0
7079716,2.2287390232,0
7083588,2.2873899936,0
7087468,2.3264906406,0
7091340,2.3362658023,0
7095212,2.3167154788,0
7099092,2.3069403171,0
7102964,2.3362658023,0
7106844,2.3802542686,0
7110708,2.3460409641,0
7114572,2.2873899936,0
7118452,2.2385141849,0
7122332,2.2385141849,0
7126212,2.2531769275,0
7130092,2.2434017658,0
7133972,2.2189638614,0
7137852,2.1652004718,0
7141716,2.1700880527,0
7145572,2.1994135379,0
7149452,2.1994135379,0
7153332,2.1700880527,0
7157204,2.1407625675,0
7161084,2.1505377292,0
7164972,2.1945259571,0
7168852,2.2091886997,0
7172716,2.1847507953,0
7176588,2.1554253101,0
7180468,2.1603128910,0
7184340,2.1994135379,0
7188228,2.2287390232,0
7192108,2.2091886997,0
7195980,2.1700880527,0
7199844,2.1554253101,0
7203716,2.1847507953,0
7207588,2.2385141849,0
7211468,2.3020527362,0
7215348,2.3998045921,0
7219228,2.6001954078,0
7223088,2.9178886413,0
7226972,3.2795698642,0
7230852,3.5923752784,0
7234724,3.7634408473,0
7238592,3.7341153621,0
7242480,3.4897360801,0
7246348,3.0791788101,0
7250220,2.5562071800,0
7254084,2.0576734542,0
7257960,1.6862169265,1
7261844,1.5151515007,0
7265720,1.4858260154,0
7269588,1.5347018241,0
7273460,1.6031280517,0
7277344,1.6862169265,0
7281228,1.7986314296,0
7285120,1.9208210945,0
7288996,2.0039100646,0
7292852,2.0332355499,0
7296724,2.0381231307,0
7300588,2.0674486160,0
7304460,2.1212120056,0
7308336,2.1603128910,0
7312212,2.1554253101,0
7316092,2.1407625675,0
7319972,2.1554253101,0
7323860,2.1994135379,0
7327732,2.2336266040,0
7331604,2.2287390232,0
7335484,2.2043011188,0
7339356,2.1945259571,0
7343244,2.2336266040,0
7347116,2.2727272510,0
7350996,2.2776148319,0
7354884,2.2531769275,0
7358764,2.2336266040,0
7362636,2.2678396701,0
7366500,2.3069403171,0
7370372,2.3167154788,0
7374252,2.2922775745,0
7378140,2.2776148319,0
7382028,2.3069403171,0
7385892,2.3558161258,0
7389772,2.3753666877,0
7393660,2.3558161258,0
7397540,2.3460409641,0
7401412,2.3753666877,0
7405292,2.4242424964,0
7409180,2.4535679817,0
7413060,2.4486804008,0
7416916,2.4291300773,0
7420788,2.4633431434,0
7424668,2.5122189521,0
7428548,2.5513195991,0
7432428,2.5464320182,0
7436308,2.5317692756,0
7440180,2.5513195991,0
7444060,2.6001954078,0
7447932,2.6295211315,0
7451820,2.6148581504,0
7455684,2.5806450843,0
7459548,2.5708699226,0
7463420,2.5953078269,0
7467292,2.6099705696,0
7471156,2.5855326652,0
7475036,2.5366568565,0
7478924,2.4975562095,0
7482804,2.4975562095,0
7486676,2.5073313713,0
7490552,2.4682307243,0
7494428,2.3998045921,0
7498308,2.3216030597,0
7502188,2.2922775745,0
7506076,2.2727272510,0
7509948,2.2287390232,0
7513836,2.1554253101,0
7517716,2.0821113586,0
7521596,2.0478982925,0
7525468,2.0478982925,0
7529340,2.0332355499,0
7533224,1.9843597412,0
7537112,1.9452590942,0
7540992,1.9354838371,0
7544876,1.9599218368,0
7548744,1.9745845794,0
7552628,1.9501466751,0
7556512,1.9208210945,0
7560384,1.9257086753,0
7564256,1.9696969985,0
7568132,2.0039100646,0
7572000,1.9990224838,0
7575880,1.9745845794,0
