timestamp ecg beat_detected ibi
1237602856.0 1.7399804592 0 14973940.0
1237606856.0 1.7399804592 0 14977940.0
1237610852.0 1.7741935253 0 14981936.0
1237614860.0 1.8035190582 0 14985944.0
1237618852.0 1.7741935253 0 14989936.0
1237622856.0 1.74486804 0 14993940.0
1237626840.0 1.7399804592 0 14997924.0
1237630836.0 1.7741935253 0 15001920.0
1237634844.0 1.7937438488 0 15005928.0
1237638852.0 1.7790811061 0 15009936.0
1237642852.0 1.7546432018 0 15013936.0
1237646852.0 1.7644183635 0 15017936.0
1237650860.0 1.7888562679 0 15021944.0
1237654860.0 1.8035190582 0 15025944.0
1237658852.0 1.7888562679 0 15029936.0
1237662856.0 1.7497556209 0 15033940.0
1237666852.0 1.7497556209 0 15037936.0
1237670844.0 1.7790811061 0 15041928.0
1237674836.0 1.8035190582 0 15045920.0
1237678828.0 1.783968687 0 15049912.0
1237682820.0 1.7595307826 0 15053904.0
1237686820.0 1.7546432018 0 15057904.0
1237690820.0 1.783968687 0 15061904.0
1237694816.0 1.808406639 0 15065900.0
1237698796.0 1.7937438488 0 15069880.0
1237702796.0 1.7693059444 0 15073880.0
1237706796.0 1.783968687 0 15077880.0
1237710792.0 1.8279570579 0 15081876.0
1237714792.0 1.862170124 0 15085876.0
1237718792.0 1.862170124 0 15089876.0
1237722792.0 1.8523949623 0 15093876.0
1237726796.0 1.8768328666 0 15097880.0
1237730800.0 1.9208210945 0 15101884.0
1237734792.0 1.9599218368 0 15105876.0
1237738792.0 1.9550342559 0 15109876.0
1237742792.0 1.9208210945 0 15113876.0
1237746784.0 1.9061583518 0 15117868.0
1237749764.0 1.9159335136 0 15120848.0
1237754792.0 1.901270771 0 15125876.0
1237758792.0 1.8572825431 0 15129876.0
1237762796.0 1.7937438488 0 15133880.0
1237766804.0 1.7693059444 0 15137888.0
1237770804.0 1.7693059444 0 15141888.0
1237774804.0 1.7693059444 0 15145888.0
1237778808.0 1.7399804592 0 15149892.0
1237782804.0 1.6959922313 0 15153888.0
1237786816.0 1.6911046504 0 15157900.0
1237790808.0 1.7106549739 0 15161892.0
1237794800.0 1.7302052974 0 15165884.0
1237798792.0 1.7155425548 0 15169876.0
1237802800.0 1.6862169265 0 15173884.0
1237806808.0 1.6862169265 0 15177892.0
1237810816.0 1.7204301357 0 15181900.0
1237814816.0 1.7399804592 0 15185900.0
