timestamp,ecg_measurement
2.951039740000000000e+09,1.764418363499999920e+00
2.951043748000000000e+09,1.676441764800000067e+00
2.951047756000000000e+09,1.520039081500000000e+00
2.951051752000000000e+09,1.466275691899999956e+00
2.951055756000000000e+09,1.544476985900000043e+00
2.951059756000000000e+09,1.627565956099999989e+00
2.951063764000000000e+09,1.573802566499999944e+00
2.951067764000000000e+09,1.446725368400000100e+00
2.951071772000000000e+09,1.417399787899999986e+00
2.951075772000000000e+09,1.515151500700000042e+00
2.951079772000000000e+09,1.612903213500000099e+00
2.951083780000000000e+09,1.573802566499999944e+00
2.951087780000000000e+09,1.446725368400000100e+00
2.951091788000000000e+09,1.432062530500000097e+00
2.951095788000000000e+09,1.559139728499999933e+00
2.951099796000000000e+09,1.652003860400000024e+00
2.951103788000000000e+09,1.617790794300000057e+00
2.951107788000000000e+09,1.500488757999999923e+00
2.951111776000000000e+09,1.485826015400000033e+00
2.951115764000000000e+09,1.603128051699999945e+00
2.951119764000000000e+09,1.705767393099999918e+00
2.951123768000000000e+09,1.671554183900000101e+00
2.951127772000000000e+09,1.554252147599999967e+00
2.951131780000000000e+09,1.539589405000000077e+00
2.951135772000000000e+09,1.661779022199999956e+00
2.951139772000000000e+09,1.774193525300000074e+00
2.951143784000000000e+09,1.749755620900000030e+00
2.951147784000000000e+09,1.612903213500000099e+00
2.951151788000000000e+09,1.603128051699999945e+00
2.951155784000000000e+09,1.715542554800000064e+00
2.951159784000000000e+09,1.818181896200000036e+00
2.951163788000000000e+09,1.793743848799999929e+00
2.951167796000000000e+09,1.656891441299999990e+00
2.951171804000000000e+09,1.642228698700000100e+00
2.951175812000000000e+09,1.764418363499999920e+00
2.951179824000000000e+09,1.847507381400000037e+00
2.951183820000000000e+09,1.798631429600000109e+00
2.951187824000000000e+09,1.671554183900000101e+00
2.951191828000000000e+09,1.656891441299999990e+00
2.951195836000000000e+09,1.769305944400000108e+00
2.951199832000000000e+09,1.857282543099999961e+00
2.951203836000000000e+09,1.803519058200000025e+00
2.951207840000000000e+09,1.671554183900000101e+00
2.951211844000000000e+09,1.647116279600000066e+00
2.951215852000000000e+09,1.759530782599999954e+00
2.951219856000000000e+09,1.857282543099999961e+00
2.951223860000000000e+09,1.803519058200000025e+00
2.951227860000000000e+09,1.676441764800000067e+00
2.951231868000000000e+09,1.656891441299999990e+00
2.951235876000000000e+09,1.764418363499999920e+00
2.951239888000000000e+09,1.862170123999999927e+00
2.951243880000000000e+09,1.803519058200000025e+00
2.951246852000000000e+09,1.671554183900000101e+00
2.951251876000000000e+09,1.647116279600000066e+00
2.951255884000000000e+09,1.754643201799999996e+00
2.951259888000000000e+09,1.842619800500000071e+00
2.951263884000000000e+09,1.788856267899999963e+00
2.951267892000000000e+09,1.661779022199999956e+00
2.951271900000000000e+09,1.661779022199999956e+00
2.951275908000000000e+09,1.774193525300000074e+00
2.951279920000000000e+09,1.871945285700000072e+00
2.951283924000000000e+09,1.823069476999999994e+00
2.951287908000000000e+09,1.705767393099999918e+00
2.951291916000000000e+09,1.691104650400000020e+00
2.951295904000000000e+09,1.808406638999999982e+00
2.951299896000000000e+09,1.906158351800000039e+00
2.951303896000000000e+09,1.867057704899999893e+00
2.951307896000000000e+09,1.749755620900000030e+00
