timestamp,measurement,qrs_detected
2975311220,1.8866080284,0
2975315216,1.9648094177,0
2975319216,1.9794721603,0
2975323216,1.9452590942,0
2975327204,1.9403715133,0
2975331212,2.0087976455,0
2975335204,2.1114368438,0
2975339212,2.1114368438,0
2975343212,2.0625610351,0
2975347212,2.0136852264,0
2975351212,2.0332355499,0
2975355212,2.0625610351,0
2975359204,2.0234603881,0
2975363196,1.9696969985,0
2975367196,1.9892473220,0
2975371188,2.1798632144,0
2975375196,2.4828934669,0
2975379196,2.8250244140,0
2975383188,3.1476051807,0
2975387188,3.4701857566,0
2975391188,3.7390029430,0
2975395180,3.7487781047,0
2975399180,3.4750733375,0
2975403192,2.9374389648,0
2975407188,2.3460409641,0
2975411180,1.9061583518,1
2975415180,1.6471162796,0
2975419196,1.5102639198,0
2975423196,1.4662756919,0
2975427204,1.4858260154,0
2975431204,1.6129032135,0
2975435212,1.7644183635,0
2975439216,1.8426198005,0
2975443212,1.8523949623,0
2975447216,1.8426198005,0
2975451204,1.9159335136,0
2975455204,1.9745845794,0
2975459212,2.0039100646,0
2975463200,1.9843597412,0
2975467208,1.9794721603,0
2975471212,2.0332355499,0
2975475212,2.0723361968,0
2975479212,2.0430107116,0
2975483204,1.9550342559,0
2975487204,1.8914956092,0
2975491204,1.9110459327,0
2975495204,1.9452590942,0
2975499200,1.9354838371,0
2975503204,1.8768328666,0
2975507204,1.8475073814,0
2975511204,1.8914956092,0
2975515204,1.9452590942,0
2975519204,1.9452590942,0
2975523204,1.8817204475,0
2975527204,1.8377322196,0
2975531212,1.8621701240,0
2975535204,1.9110459327,0
2975539212,1.9110459327,0
2975543208,1.8670577049,0
2975547204,1.8621701240,0
2975551208,1.9354838371,0
2975555212,2.0283479690,0
2975559204,2.0772237777,0
2975563204,2.0527858734,0
2975567204,2.0527858734,0
2975571204,2.1016616821,0
2975575212,2.1603128910,0
2975579204,2.1554253101,0
2975583204,2.1016616821,0
2975587204,2.0821113586,0
2975591204,2.1114368438,0
2975595212,2.1700880527,0
2975599204,2.1700880527,0
2975603196,2.1260998249,0
2975607196,2.1114368438,0
2975611204,2.1016616821,0
2975615204,2.0918865203,0
2975619204,2.0332355499,0
2975623204,1.9696969985,0
2975627196,1.9794721603,0
2975631196,2.1016616821,0
2975635204,2.2629520893,0
2975639204,2.3460409641,0
2975643196,2.3509285449,0
2975647196,2.3362658023,0
2975651204,2.3655912876,0
2975655212,2.3949170112,0
2975659216,2.3264906406,0
2975663204,2.1994135379,0
2975667208,2.0967741012,0
2975671204,2.0674486160,0
2975675196,2.0723361968,0
2975679192,2.0039100646,0
2975683180,1.9159335136,0
2975687200,1.8670577049,0
2975691196,1.8914956092,0
2975695196,1.9452590942,0
2975699196,1.9403715133,0
2975703212,1.8768328666,0
